Sample,Time_us,Raw_u16,Voltage_V
0,186,17812,0.896919
1,1014,12691,0.639052
2,2009,13683,0.689004
3,3013,22117,1.113696
4,4010,34648,1.744692
5,5014,46651,2.349100
6,6010,53389,2.688391
7,7014,52444,2.640806
8,8011,44122,2.221753
9,9009,31559,1.589146
10,10013,19460,0.979904
11,11009,12723,0.640664
12,12013,13747,0.692227
13,13010,22037,1.109668
14,14014,34648,1.744692
15,15010,46587,2.345878
16,16014,53437,2.690808
17,17012,52380,2.637583
18,18010,44298,2.230616
19,19014,31559,1.589146
20,20010,19588,0.986349
21,21014,12755,0.642275
22,22010,13715,0.690616
23,23014,22133,1.114502
24,24011,34712,1.747915
25,25011,46651,2.349100
26,26009,53485,2.693225
27,27012,52556,2.646445
28,28009,44218,2.226587
29,29013,31479,1.585118
30,30009,19540,0.983932
31,31013,12771,0.643081
32,32009,13747,0.692227
33,33010,22037,1.109668
34,34008,34632,1.743886
35,35012,46635,2.348295
36,36008,53437,2.690808
37,37012,52492,2.643222
38,38009,44090,2.220142
39,39013,31415,1.581895
40,40009,19524,0.983127
41,41010,12739,0.641469
42,42011,13715,0.690616
43,43008,22005,1.108057
44,44012,34680,1.746303
45,45009,46523,2.342655
46,46013,53357,2.686780
47,47009,52412,2.639194
48,48013,44074,2.219336
49,49013,31463,1.584312
50,50011,19444,0.979098
51,51015,12611,0.635024
52,52011,13523,0.680948
53,53008,21893,1.102417
54,54012,34728,1.748720
55,55008,46667,2.349906
56,56012,53501,2.694030
57,57013,52540,2.645640
58,58012,44122,2.221753
59,59008,31543,1.588340
60,60012,19524,0.983127
61,61008,12787,0.643886
62,62012,13747,0.692227
63,63009,22053,1.110474
64,64013,34728,1.748720
65,65014,46667,2.349906
66,66013,53453,2.691614
67,67010,52524,2.644834
68,68014,44090,2.220142
69,69010,31511,1.586729
70,70014,19492,0.981515
71,71011,12819,0.645498
72,72015,13763,0.693033
73,73010,21957,1.105640
74,74014,34696,1.747109
75,75011,46667,2.349906
76,76015,53421,2.690002
77,77011,52476,2.642417
78,78015,44074,2.219336
79,79011,31495,1.585924
80,80008,19492,0.981515
81,81010,12595,0.634218
82,82009,13683,0.689004
83,83014,21989,1.107251
84,84011,34520,1.738247
85,85015,46603,2.346684
86,86011,53517,2.694836
87,87015,52508,2.644028
88,88011,44074,2.219336
89,89013,31527,1.587535
90,90011,19508,0.982321
91,91015,12755,0.642275
92,92011,13763,0.693033
93,93015,22133,1.114502
94,94011,34664,1.745498
95,95008,46603,2.346684
96,96012,53389,2.688391
97,97015,52412,2.639194
98,98013,44074,2.219336
99,99010,31447,1.583506
100,100014,19508,0.982321
101,101011,12739,0.641469
102,102015,13667,0.688199
103,103011,22101,1.112891
104,104015,34728,1.748720
105,105010,46571,2.345072
106,106010,53469,2.692419
107,107014,52524,2.644834
108,108011,44218,2.226587
109,109015,31287,1.575450
110,110011,19316,0.972653
111,111015,12675,0.638247
112,112011,13571,0.683365
113,113013,22021,1.108862
114,114010,34600,1.742275
115,115014,46571,2.345072
116,116010,53533,2.695642
117,117014,52572,2.647251
118,118011,44058,2.218530
119,119015,31527,1.587535
120,120011,19588,0.986349
121,121010,12691,0.639052
122,122014,13747,0.692227
123,123011,22069,1.111280
124,124015,34728,1.748720
125,125011,46635,2.348295
126,126015,53437,2.690808
127,127011,52460,2.641611
128,128008,44122,2.221753
129,129010,31559,1.589146
130,130015,19492,0.981515
131,131012,12595,0.634218
132,132008,13619,0.685782
133,133012,21909,1.103223
134,134009,34488,1.736635
135,135013,46491,2.341044
136,136009,53373,2.687585
137,137010,52428,2.640000
138,138015,44010,2.216114
139,139011,31511,1.586729
140,140015,19508,0.982321
141,141011,12771,0.643081
142,142008,13699,0.689810
143,143012,22085,1.112085
144,144008,34536,1.739052
145,145012,46539,2.343460
146,146009,53277,2.682751
147,147013,52476,2.642417
148,148009,44282,2.229810
149,149013,31575,1.589952
150,150009,19604,0.987155
151,151013,12755,0.642275
152,152010,13715,0.690616
153,153013,22117,1.113696
154,154010,34744,1.749526
155,155014,46731,2.353129
156,156011,53501,2.694030
157,157015,52508,2.644028
158,158011,44218,2.226587
159,159015,31511,1.586729
160,160011,19588,0.986349
161,161015,12707,0.639858
162,162013,13763,0.693033
163,163010,22101,1.112891
164,164013,34760,1.750332
165,165010,46651,2.349100
166,166014,53501,2.694030
167,167010,52556,2.646445
168,168014,44154,2.223364
169,169012,31543,1.588340
170,170010,19588,0.986349
171,171015,12723,0.640664
172,172012,13683,0.689004
173,173008,22021,1.108862
174,174012,34568,1.740664
175,175009,46683,2.350712
176,176013,53549,2.696448
177,177010,52508,2.644028
178,178015,44042,2.217725
179,179011,31543,1.588340
180,180008,19604,0.987155
181,181012,12723,0.640664
182,182008,13651,0.687393
183,183012,22117,1.113696
184,184009,34696,1.747109
185,185014,46699,2.351518
186,186013,53437,2.690808
187,187010,52492,2.643222
188,188014,44090,2.220142
189,189010,31543,1.588340
190,190014,19524,0.983127
191,191011,12755,0.642275
192,192015,13731,0.691421
193,193013,22085,1.112085
194,194011,34648,1.744692
195,195015,46603,2.346684
196,196011,53453,2.691614
197,197008,52460,2.641611
198,198012,43978,2.214502
199,199008,31383,1.580284
200,200012,19412,0.977487
201,201010,12595,0.634218
202,202014,13539,0.681753
203,203011,21973,1.106445
204,204015,34728,1.748720
205,205011,46635,2.348295
206,206008,53405,2.689196
207,207012,52444,2.640806
208,208008,44170,2.224170
209,209015,31319,1.577061
210,210015,19300,0.971847
211,211011,12691,0.639052
212,212008,13699,0.689810
213,213012,22165,1.116114
214,214008,34696,1.747109
215,215012,46667,2.349906
216,216009,53549,2.696448
217,217015,52620,2.649668
218,218012,44202,2.225782
219,219009,31639,1.593175
220,220013,19572,0.985544
221,221009,12739,0.641469
222,222013,13715,0.690616
223,223010,22085,1.112085
224,224014,34760,1.750332
225,225012,46651,2.349100
226,226009,53453,2.691614
227,227013,52508,2.644028
228,228009,44138,2.222559
229,229013,31479,1.585118
230,230010,19540,0.983932
231,231014,12739,0.641469
232,232010,13683,0.689004
233,233009,22021,1.108862
234,234015,34696,1.747109
235,235011,46587,2.345878
236,236015,53485,2.693225
237,237011,52412,2.639194
238,238008,44106,2.220948
239,239012,31479,1.585118
240,240008,19460,0.979904
241,241008,12675,0.638247
242,242014,13571,0.683365
243,243012,21909,1.103223
244,244008,34744,1.749526
245,245012,46747,2.353934
